user_id,name,email,phone,event_user_id,event_name,event_ts
10000,User 10000,user10000@company.com,+1-603-6870,10000,purchase,2025-01-31 19:00:00
10001,User 10001,user10001@company.com,+1-520-1393,10001,view,2025-02-01 01:00:00Z
10002,,user10002@company.com,,10002,,
10003,User 10003,user10003@company.com,+1-420-8552,1010002,view,2025-01-31 22:00:00
10004,User 10004,user10004@company.com,+1-571-6283,10004,purchase,2025-02-01 04:00:00Z
10005,User 10005,user10005@company.com,970-3022,10005,login,2025-02-01 05:00:00Z
10006,User 10006,user10006@company.com,+1-876-7765,10006,login,2025-02-01 01:00:00
10007,User 10007,user10007@company.com,+1-503-3372,10007,logout,2025-02-01 02:00:00
10008,User 10008,user10008@company.com,+1-418-4779,10008,logout,2025-02-01 08:00:00Z
10009,User 10009,user10009@company.com,+1-710-5058,10009,purchase,2025-02-01 09:00:00Z
10010,User 10010,user10010@company.com,+1-317-9596,10010,logout,2025-02-01 05:00:00
10011,User 10011,user10011@company.com,+1-510-9026,10011,logout,2025-02-01 11:00:00Z
10012,User 10012,user10012@company.com,351-3507,10012,purchase,2025-02-01 07:00:00
10013,User 10013,USER10013@COMPANY.COM,+1-820-3506,1010012,view,2025-02-01 08:00:00
10014,User 10014,user10014@company.com,+1-915-4797,10014,purchase,2025-02-01 14:00:00Z
10015,User 10015,user10015@company.com,+1-565-1036,10015,logout,2025-02-01 15:00:00Z
10016,User 10016,user10016@company.com,+1-537-3780,10016,view,2025-02-01 16:00:00Z
10017,User 10017,user10017@company.com,+1-637-9564,10017,view,2025-02-01 12:00:00
10018,User 10018,user10018@company.com,+1-211-8543,10018,view,2025-02-01 13:00:00
10019,User 10019,user10019@company.com,+1-519-5815,10019,logout,2025-02-01 19:00:00Z
10020,User 10020,user10020@company.com,575-5368,10020,view,2025-02-01 20:00:00Z
10021,User 10021,user10021@company.com,+1-858-9505,10021,logout,2025-02-01 21:00:00Z
10022,User 10022,user10022@company.com,+1-990-6337,10022,purchase,2025-02-01 22:00:00Z
10023,User 10023,user10023@company.com,+1-759-9484,1010022,logout,2025-02-01 18:00:00
10024,User 10024,user10024@company.com,+1-945-9979,10024,view,2025-02-02 00:00:00Z
10025,User 10025,user10025@company.com,+1-237-1303,10025,view,2025-02-02 01:00:00Z
10026,User 10026,user10026@company.com,663-2066,10026,logout,2025-02-02 02:00:00Z
10027,,user10027@company.com,,10027,,
10028,User 10028,user10028@company.com,301-2135,10028,view,2025-02-02 04:00:00Z
10029,User 10029,user10029@company.com,284-4076,10029,purchase,2025-02-02 05:00:00Z
10030,User 10030,user10030@company.com,+1-875-3699,10030,login,2025-02-02 06:00:00Z
10031,,user10031@company.com,,10031,,
10032,User 10032,user10032@company.com,+1-681-1455,10032,purchase,2025-02-02 08:00:00Z
10033,User 10033,user10033@company.com,+1-740-5058,10033,login,2025-02-02 09:00:00Z
